'20100427161938-04003003-03-VIS.jpg' , [-86.899848, 40.405976, 1790.8948010328002] , [[0.3509321330789372, -0.35684462729577826, -0.8657416184652349, 0.0], [0.7985170028064362, 0.596945568511273, 0.07763107923878741, 0.0], [0.48909838908106507, -0.7185526426121402, 0.49443388394548465, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161938-04003003-04-VIS.jpg' , [-86.899848, 40.405976, 1790.8948010328002] , [[0.3509321330789372, -0.35684462729577826, -0.8657416184652349, 0.0], [0.7985170028064362, 0.596945568511273, 0.07763107923878741, 0.0], [0.48909838908106507, -0.7185526426121402, 0.49443388394548465, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161938-04003003-05-VIS.jpg' , [-86.899848, 40.405976, 1790.8948010328002] , [[0.3509321330789372, -0.35684462729577826, -0.8657416184652349, 0.0], [0.7985170028064362, 0.596945568511273, 0.07763107923878741, 0.0], [0.48909838908106507, -0.7185526426121402, 0.49443388394548465, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161939-04003004-00-VIS.jpg' , [-86.899358, 40.406228, 1791.0723890952002] , [[0.3560704929660023, -0.3501991219286622, -0.8663569582102645, 0.0], [0.7884717547160855, 0.6101799433480073, 0.07741271698344832, 0.0], [0.5015237741661756, -0.7106623753486718, 0.493389189393017, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161939-04003004-01-VIS.jpg' , [-86.899358, 40.406228, 1791.0723890952002] , [[0.3560704929660023, -0.3501991219286622, -0.8663569582102645, 0.0], [0.7884717547160855, 0.6101799433480073, 0.07741271698344832, 0.0], [0.5015237741661756, -0.7106623753486718, 0.493389189393017, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161939-04003004-02-VIS.jpg' , [-86.899358, 40.406228, 1791.0723890952002] , [[0.3560704929660023, -0.3501991219286622, -0.8663569582102645, 0.0], [0.7884717547160855, 0.6101799433480073, 0.07741271698344832, 0.0], [0.5015237741661756, -0.7106623753486718, 0.493389189393017, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161939-04003004-03-VIS.jpg' , [-86.899358, 40.406228, 1791.0723890952002] , [[0.3560704929660023, -0.3501991219286622, -0.8663569582102645, 0.0], [0.7884717547160855, 0.6101799433480073, 0.07741271698344832, 0.0], [0.5015237741661756, -0.7106623753486718, 0.493389189393017, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161939-04003004-04-VIS.jpg' , [-86.899358, 40.406228, 1791.0723890952002] , [[0.3560704929660023, -0.3501991219286622, -0.8663569582102645, 0.0], [0.7884717547160855, 0.6101799433480073, 0.07741271698344832, 0.0], [0.5015237741661756, -0.7106623753486718, 0.493389189393017, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161939-04003004-05-VIS.jpg' , [-86.899358, 40.406228, 1791.0723890952002] , [[0.3560704929660023, -0.3501991219286622, -0.8663569582102645, 0.0], [0.7884717547160855, 0.6101799433480073, 0.07741271698344832, 0.0], [0.5015237741661756, -0.7106623753486718, 0.493389189393017, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161940-04003005-00-VIS.jpg' , [-86.898875, 40.406487, 1791.2068638072] , [[0.3580128345258322, -0.34288824221400704, -0.8684782459372069, 0.0], [0.7785932584943678, 0.6230337612284486, 0.07497646428483655, 0.0], [0.5153827200652946, -0.7030338439370618, 0.49002455666749717, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
