S183,40,25,49.36126,-86,54,53.75030,181.600,507215.702,4475530.236,181.600,0.011,0.001,0.001
S184,40,25,49.11602,-86,54,53.48805,181.592,507221.888,4475522.680,181.592,0.011,0.004,0.004
S185,40,25,49.41051,-86,54,53.24780,181.596,507227.540,4475531.766,181.596,0.004,0.001,0.007
S188,40,25,49.60918,-86,54,52.15048,164.340,507253.389,4475537.916,164.340,0.009,0.012,0.021
S189,40,25,49.21235,-86,54,51.72676,164.301,507263.384,4475525.691,164.301,0.008,0.015,0.001
S190,40,25,49.34847,-86,54,52.45793,167.232,507246.152,4475529.871,167.232,0.008,0.003,0.012
S191,40,25,49.10428,-86,54,52.19776,167.240,507252.290,4475522.348,167.240,0.012,0.013,0.003
S193,40,25,49.21447,-86,54,52.67020,167.238,507241.155,4475525.735,167.238,0.003,0.013,0.003
S194,40,25,39.97339,-86,54,45.23038,170.229,507416.731,4475240.977,170.229,0.000,0.001,0.002
S195,40,25,39.64108,-86,54,45.22975,170.209,507416.756,4475230.731,170.209,0.006,0.011,0.015
S196,40,25,39.63860,-86,54,45.64269,170.230,507407.026,4475230.644,170.230,0.002,0.003,0.006
S198,40,25,38.03666,-86,54,44.92428,170.204,507424.002,4475181.269,170.204,0.009,0.017,0.002
S199,40,25,38.36488,-86,54,44.92724,170.211,507423.922,4475191.389,170.211,0.000,0.001,0.006
S200,40,25,38.35842,-86,54,43.50943,170.223,507457.330,4475191.223,170.223,0.013,0.002,0.018
S201,40,25,39.96481,-86,54,43.52187,170.221,507456.988,4475240.752,170.221,0.005,0.006,0.001
S203,40,25,39.65021,-86,54,44.82336,174.782,507426.331,4475231.022,174.782,0.027,0.016,0.007
S205,40,25,38.66176,-86,54,44.34977,174.800,507437.520,4475200.556,174.800,0.004,0.002,0.001
S206,40,25,39.52894,-86,54,45.34646,173.906,507414.009,4475227.270,173.906,0.010,0.007,0.010
S207,40,25,39.29921,-86,54,45.34389,173.925,507414.077,4475220.187,173.925,0.007,0.008,0.005
