'1fps_image_0031.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0615472, -0.997456, 0.0359586, -62.876], [-0.795692, 0.0272839, -0.605087, -10.4279], [0.602567, -0.0658534, -0.795347, 50.1505], [0.0, 0.0, 0.0, 1.0]] , [2510.6500000000001, 2510.6500000000001, 2048.0, 1080.0]
'1fps_image_0032.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0487721, -0.998281, 0.0324985, -62.6418], [-0.791787, 0.0188088, -0.610509, -8.78078], [0.608848, -0.0555077, -0.791343, 51.0874], [0.0, 0.0, 0.0, 1.0]] , [2512.2600000000002, 2512.2600000000002, 2048.0, 1080.0]
'1fps_image_0033.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0832533, -0.995956, 0.0337629, -64.3206], [-0.78352, 0.0444853, -0.619772, -5.3494], [0.615764, -0.0780519, -0.784056, 50.4361], [0.0, 0.0, 0.0, 1.0]] , [2508.6900000000001, 2508.6900000000001, 2048.0, 1080.0]
'1fps_image_0034.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0190656, -0.999427, 0.0279728, -61.946], [-0.784828, -0.00237317, -0.619709, -7.34924], [0.619421, -0.033769, -0.784333, 53.7655], [0.0, 0.0, 0.0, 1.0]] , [2509.3200000000002, 2509.3200000000002, 2048.0, 1080.0]
'1fps_image_0035.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0394854, -0.998942, 0.0236032, -62.6779], [-0.781932, 0.0161836, -0.623154, -5.36194], [0.622112, -0.0430616, -0.781744, 54.0529], [0.0, 0.0, 0.0, 1.0]] , [2508.9899999999998, 2508.9899999999998, 2048.0, 1080.0]
'1fps_image_0036.jpg' , [-92.215197, 37.648858, 300.0] , [[0.00332254, -0.999754, 0.0219426, -60.9216], [-0.784157, -0.0162215, -0.62035, -7.05692], [0.620553, -0.0151453, -0.784018, 56.6543], [0.0, 0.0, 0.0, 1.0]] , [2512.5599999999999, 2512.5599999999999, 2048.0, 1080.0]
'1fps_image_0037.jpg' , [-92.215197, 37.648858, 300.0] , [[0.0165591, -0.999495, 0.0271097, -60.4588], [-0.781308, -0.0298539, -0.623431, -6.98171], [0.623926, -0.0108575, -0.781408, 57.5901], [0.0, 0.0, 0.0, 1.0]] , [2511.5, 2511.5, 2048.0, 1080.0]
'1fps_image_0038.jpg' , [-92.215197, 37.648858, 300.0] , [[0.00470102, -0.999575, 0.0287679, -60.9503], [-0.784351, -0.0215309, -0.619944, -6.2758], [0.6203, -0.0196498, -0.784119, 57.859], [0.0, 0.0, 0.0, 1.0]] , [2510.54, 2510.54, 2048.0, 1080.0]
'1fps_image_0039.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0469739, -0.998491, 0.0284509, -62.9871], [-0.78188, 0.0190278, -0.623139, -2.95785], [0.621657, -0.0515164, -0.781593, 57.265], [0.0, 0.0, 0.0, 1.0]] , [2509.6500000000001, 2509.6500000000001, 2048.0, 1080.0]
'1fps_image_0040.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0422386, -0.998582, 0.0324065, -62.9755], [-0.787271, 0.0132946, -0.616464, -2.73308], [0.615159, -0.0515513, -0.786716, 58.68], [0.0, 0.0, 0.0, 1.0]] , [2509.9299999999998, 2509.9299999999998, 2048.0, 1080.0]
